Course,Description,Link,Rating,Instructor/Organization
Full Stack Development,"Learn HTML, CSS, JavaScript, React Node.js",https://www.udemy.com/course/full-stack-development/,4.5,Udemy - Sachin Bhatnagar
Web Designing,"Learn UI/UX, HTML, CSS, JavaScript, Figma",https://www.coursera.org/specializations/web-design,4.4,Coursera - University of California San Diego
Digital Marketing,Learn SEO with Social Media and Google Analytics,https://www.hubspot.com/academy/courses/digital-marketing,4.6,HubSpot Academy
Data Science,"Learn Python, R, Machine Learning and Tableau",https://www.datacamp.com/tracks/data-scientist-with-python,4.7,DataCamp - Hugo Bowne-Anderson
Content Writing,"Learn writing, editing, proofreading",https://www.udemy.com/course/content-writing/,4.3,Udemy - Shriya Gopal
Graphic Design,"Learn Adobe Creative Suite, design principles",https://www.skillshare.com/classes/Graphic-Design-Fundamentals/52537274,4.5,Skillshare - Ellen Finkelstein
Cyber Security,Learn security frameworks & threat analysis,https://www.coursera.org/specializations/cyber-security,4.4,Coursera - University of Virginia
UI/UX Design,Learn user experience & user interface,https://www.udemy.com/course/ui-ux-design/,4.5,Udemy - Joe Natoli
Social Media Management,Learn social media marketing and content creation,https://www.hootsuite.com/academy/courses/social-media-marketing,4.6,Hootsuite Academy
Search Engine Optimization (SEO),Learn SEO strategies such as keyword research,https://www.moz.com/beginners-guide-to-seo,4.7,Moz
Artificial Intelligence,"Learn AI, machine learning and deep learning",https://www.coursera.org/specializations/ai-engineer,4.6,Coursera - Andrew Ng
Web Development,"Learn HTML, CSS, JavaScript, React",https://www.freeCodeCamp.org/,4.8,FreeCodeCamp
E-commerce Management,Learn online store management with Shopify,https://www.shopify.com/academy/courses/ecommerce-management,4.5,Shopify Academy
Video Editing,Learn Adobe Premiere Pro for video production,https://www.udemy.com/course/video-editing/,4.4,Udemy - Traversy Media
Photography,Learn photography basics and editing,https://www.coursera.org/specializations/photography,4.4,Coursera - Michigan State University
Online Tutoring,Learn online teaching methods,https://www.udemy.com/course/online-tutoring/,4.4,Udemy - Lisa Jenkins
Translation Services,Learn translation techniques,https://www.coursera.org/specializations/translation,4.5,Coursera - University of California Irvine
Transcription Services,Learn transcription skills,https://www.transcribeanywhere.com/,4.7,Transcribe Anywhere - Janet Shaughnessy
Virtual Assistance,Learn virtual assistant skills,https://www.fiverr.com/learn,4.5,Fiverr - Chris Guillebeau
Online Survey and Research,Learn survey design,https://www.surveymonkey.com/mp/online-survey/,4.4,SurveyMonkey - Amanda Stanley
Affiliate Marketing,Learn affiliate marketing strategies,https://www.udemy.com/course/affiliate-marketing/,4.6,Udemy - Franklin Hatchett
Dropshipping,Learn dropshipping business model,https://www.shopify.com/academy/courses/dropshipping,4.5,Shopify Academy
Online Coaching or Consulting,Learn coaching and consulting skills,https://www.coursera.org/specializations/coaching,4.6,Coursera - University of Queensland
Project Management,Learn project management methodologies,https://www.edx.org/course/project-management,4.7,edX - RITx
Email Marketing,Learn email marketing strategies,https://www.hubspot.com/academy/courses/email-marketing,4.6,HubSpot Academy
Podcasting,Learn podcasting basics,https://www.udemy.com/course/podcasting/,4.5,Udemy - Scott Paton
Video Marketing,Learn video marketing strategies,https://www.coursera.org/specializations/video-marketing,4.5,Coursera - University of California Irvine
Search Engine Marketing (SEM),Learn SEM strategies,https://www.google.com/ads,4.7,Google Ads - Google
Influencer Marketing,Learn influencer marketing strategies,https://www.udemy.com/course/influencer-marketing/,4.5,Udemy - Traversy Media
Cloud Computing,Learn cloud computing basics,https://www.aws.training/,4.7,Amazon Web Services
